|6.6.6
2018PPGrt_01_1.tab                                                                                  
           2
T(K)    
   673.00000000000000     
   3.0303030303030303     
         100
P(bar)  
   2000.0000000000000     
   30.303030303030305     
         100
           6
T(K)           P(bar)         C[Gt(W)1]      C[Gt(W)2]      C[Gt(W)3]      C[Gt(W)4]     
  673.000        2000.00                 NaN            NaN            NaN            NaN
  676.030        2000.00                 NaN            NaN            NaN            NaN
  679.061        2000.00                 NaN            NaN            NaN            NaN
  682.091        2000.00                 NaN            NaN            NaN            NaN
  685.121        2000.00                 NaN            NaN            NaN            NaN
  688.152        2000.00                 NaN            NaN            NaN            NaN
  691.182        2000.00                 NaN            NaN            NaN            NaN
  694.212        2000.00                 NaN            NaN            NaN            NaN
  697.242        2000.00                 NaN            NaN            NaN            NaN
  700.273        2000.00                 NaN            NaN            NaN            NaN
  703.303        2000.00                 NaN            NaN            NaN            NaN
  706.333        2000.00                 NaN            NaN            NaN            NaN
  709.364        2000.00                 NaN            NaN            NaN            NaN
  712.394        2000.00                 NaN            NaN            NaN            NaN
  715.424        2000.00                 NaN            NaN            NaN            NaN
  718.455        2000.00                 NaN            NaN            NaN            NaN
  721.485        2000.00                 NaN            NaN            NaN            NaN
  724.515        2000.00                 NaN            NaN            NaN            NaN
  727.545        2000.00                 NaN            NaN            NaN            NaN
  730.576        2000.00                 NaN            NaN            NaN            NaN
  733.606        2000.00                 NaN            NaN            NaN            NaN
  736.636        2000.00                 NaN            NaN            NaN            NaN
  739.667        2000.00                 NaN            NaN            NaN            NaN
  742.697        2000.00                 NaN            NaN            NaN            NaN
  745.727        2000.00                 NaN            NaN            NaN            NaN
  748.758        2000.00       0.110700       0.300617       0.556584       0.320988E-001
  751.788        2000.00       0.101235       0.300617       0.566049       0.320988E-001
  754.818        2000.00       0.893004E-001  0.300617       0.574691       0.353909E-001
  757.848        2000.00       0.893004E-001  0.300617       0.574691       0.353909E-001
  760.879        2000.00       0.893004E-001  0.300617       0.574691       0.353909E-001
  763.909        2000.00       0.740741E-001  0.300617       0.588272       0.370370E-001
  766.939        2000.00       0.728395E-001  0.300617       0.588272       0.382716E-001
  769.970        2000.00       0.688769E-001  0.300617       0.590859       0.396473E-001
  773.000        2000.00       0.539095E-001  0.300617       0.610494       0.349794E-001
  776.030        2000.00       0.590397E-001  0.300192       0.599893       0.408753E-001
  779.061        2000.00       0.553918E-001  0.294319       0.606941       0.433484E-001
  782.091        2000.00       0.539095E-001  0.293210       0.610494       0.423868E-001
  785.121        2000.00       0.489537E-001  0.280671       0.623318       0.470571E-001
  788.152        2000.00       0.465021E-001  0.275926       0.629012       0.485597E-001
  791.182        2000.00       0.440853E-001  0.260837       0.644495       0.505833E-001
  794.212        2000.00       0.403292E-001  0.266049       0.637654       0.559671E-001
  797.242        2000.00       0.300412E-001  0.291975       0.612963       0.650206E-001
  800.273        2000.00       0.267259E-001  0.299817       0.606721       0.667358E-001
  803.303        2000.00       0.271182E-001  0.298693       0.606385       0.678043E-001
  806.333        2000.00       0.268421E-001  0.299024       0.605888       0.682461E-001
  809.364        2000.00       0.265527E-001  0.299371       0.605367       0.687091E-001
  812.394        2000.00       0.264948E-001  0.299225       0.605406       0.688735E-001
  815.424        2000.00       0.257220E-001  0.300617       0.603913       0.697477E-001
  818.455        2000.00       0.255546E-001  0.300617       0.603578       0.702499E-001
  821.485        2000.00       0.252952E-001  0.300617       0.603848       0.702396E-001
  824.515        2000.00       0.250814E-001  0.300617       0.603688       0.706137E-001
  827.545        2000.00       0.248822E-001  0.300617       0.603287       0.712133E-001
