|6.6.6
2018PPGrt_01_1.tab                                                                                  
           2
T(K)    
   673.00000000000000     
   3.0303030303030303     
         100
P(bar)  
   2000.0000000000000     
   30.303030303030305     
         100
           4
T(K)           P(bar)         Gt(W),vo%      St(W),vo%     
  673.000        2000.00                 NaN            NaN
  676.030        2000.00                 NaN            NaN
  679.061        2000.00                 NaN            NaN
  682.091        2000.00                 NaN            NaN
  685.121        2000.00                 NaN            NaN
  688.152        2000.00                 NaN            NaN
  691.182        2000.00                 NaN            NaN
  694.212        2000.00                 NaN            NaN
  697.242        2000.00                 NaN            NaN
  700.273        2000.00                 NaN            NaN
  703.303        2000.00                 NaN            NaN
  706.333        2000.00                 NaN            NaN
  709.364        2000.00                 NaN            NaN
  712.394        2000.00                 NaN            NaN
  715.424        2000.00                 NaN            NaN
  718.455        2000.00                 NaN            NaN
  721.485        2000.00                 NaN            NaN
  724.515        2000.00                 NaN            NaN
  727.545        2000.00                 NaN            NaN
  730.576        2000.00                 NaN            NaN
  733.606        2000.00                 NaN            NaN
  736.636        2000.00                 NaN            NaN
  739.667        2000.00                 NaN            NaN
  742.697        2000.00                 NaN            NaN
  745.727        2000.00                 NaN            NaN
  748.758        2000.00       0.211875E-001            NaN
  751.788        2000.00       0.513185E-001            NaN
  754.818        2000.00       0.204836                 NaN
  757.848        2000.00       0.204824                 NaN
  760.879        2000.00       0.204811                 NaN
  763.909        2000.00       0.346093                 NaN
  766.939        2000.00       0.401288                 NaN
  769.970        2000.00       0.442425                 NaN
  773.000        2000.00       0.492293                 NaN
  776.030        2000.00       0.559921       0.912215E-001
  779.061        2000.00       0.622367       0.315064     
  782.091        2000.00       0.654213       0.401591     
  785.121        2000.00       0.757673       0.876225     
  788.152        2000.00       0.828972        1.15924     
  791.182        2000.00       0.923015        1.39731     
  794.212        2000.00       0.933289        2.62229     
  797.242        2000.00        1.04598                 NaN
  800.273        2000.00        1.01509                 NaN
  803.303        2000.00       0.985928                 NaN
  806.333        2000.00       0.963197                 NaN
  809.364        2000.00       0.940467                 NaN
  812.394        2000.00       0.911195                 NaN
  815.424        2000.00       0.901308                 NaN
  818.455        2000.00       0.873469                 NaN
  821.485        2000.00       0.859566                 NaN
  824.515        2000.00       0.835945                 NaN
  827.545        2000.00       0.807470                 NaN
  830.576        2000.00       0.785961                 NaN
  833.606        2000.00       0.764455                 NaN
  836.636        2000.00       0.738851                 NaN
  839.667        2000.00       0.711429                 NaN
  842.697        2000.00       0.688073                 NaN
